refno,pump_rate
234882,45
263734,10
346496,1250
263699,18
234877,30
234821,1250
234811,10
234831,25
234841,40
48718,15
234856,6
234851,10
234861,9
234846,40
234862,730
263688,20
263689,18
324706,50
272426,30
234615,5
234826,1000
234620,5
271968,30
438412,300
234635,10
257640,7
234650,3
263749,11
234866,120
234645,4.2
234600,60
234544,2
234545,3
257660,0.5
412324,10
234886,5
234871,50
234896,5
418308,15
257680,15
257679,5
263719,10
263724,10
303926,10
303925,20
309184,3
406798,1
234803,5
381008,25
381011,15
234655,10
421831,20
234640,1
234226,25
263693,50
234266,4
234257,20
234271,0.33
234201,5
272435,30
234399,20
263714,50
381009,25
411187,7
235147,27
234247,20
234241,30
234252,60
234261,1
234242,1.33
234221,10
271967,30
271966,7
234211,5
346501,1500
234231,10
232558,45
234251,4
234256,5
234236,7
234216,4
234246,2.5
263744,20
235142,15
389759,20
235207,2750
424811,20
234276,1.5
380352,800
234262,0.25
232553,1250
235217,1250
417507,20
233514,70
264361,27
234267,5
251025,30
251080,20
234323,10
425123,40
235177,10
389760,20
234272,2
257655,100
323262,6
323263,50
323264,4
323265,3
323266,6
323267,5
233244,40
233249,20
433568,300
234308,5
234291,150
235237,10
313371,10
235187,10
233254,10
233480,10
235182,9
235222,25
235212,20
425196,40
235227,20
235192,10
250985,33
425119,40
348537,20
234303,20
234419,40
235253,40
381010,25
348800,5
234296,167
382926,6
382927,15
382925,7
233319,1.5
410603,20
324143,100
412317,6
324141,403
324142,407
324140,15
233557,0.75
234287,350
393546,15
233490,0.83
233471,10
288910,20
288915,25
288920,0.5
235163,80
233500,3
233567,0.5
420107,12
233466,42
231480,10
233324,10
259508,11
232557,5
233329,37
381006,12
233461,6
234264,349
234263,300
234260,349
264285,27
264311,25
264316,30
235157,30
97614,125
233314,30
235158,20
231464,10
234282,1
233334,9
70651,15
264322,2
305655,150
231479,12
305656,30
233510,0.42
264239,20
283681,12
381004,25
235148,5
233515,0.83
287621,5
381007,1.5
234292,1000
233562,3
233284,12
235153,12
233224,25
48753,15
233531,7
233866,200
444669,15
315874,200
233861,200
234333,0.5
231490,10
233506,8
233516,10
233229,30
232552,19
234358,7
447804,300
235198,7.5
235258,7.5
412391,10
235203,10
233476,20
233831,250
380799,601
380800,610
233536,2
232522,115
235228,15
235233,15
233505,3
233486,20
412387,10
70650,10
234318,1
231414,6
234338,1
234348,40
233932,350
265795,100
234328,10
235168,5
232547,10
233836,5
233841,0.5
315878,219
234313,0.66
234383,83
234393,10
309176,50
232617,10
232587,20
235243,10
234368,0.5
232607,0.2
234403,1
233871,2
214371,10
234388,2
303879,15
233882,1016
233887,1000
233892,195
233902,150
231453,30
234378,1.6
233937,3000
233917,3000
233867,20
233846,1
234353,5
233511,15
264209,4
233922,3000
233496,6
233551,6
233872,3046
234363,0.83
233309,10
233294,10
233927,3130
232612,5
233912,2539
235218,1.5
235213,7
233339,12
232596,7
303880,10
303881,10
233501,10
234373,2
232597,0.083
232582,15
234186,0.75
233556,5
235173,5
234181,0.33
264327,2
232577,4
264857,20
233546,1
233304,6
233569,20
233484,30
232592,10
233856,3
231503,37
233566,2
231513,26
233491,10
235208,7
233289,1
233534,30
233906,4
303905,8
233896,10
348532,8
3459,30
233970,10
233269,8
233264,6
233259,15
232517,75
232537,175
233274,8
233299,8
235223,5
235248,6
235238,190
233481,20
233549,15
233559,50
233975,1
231523,27
232611,15
232606,5
233473,8
231454,20
303899,10
283682,12
381014,30
234020,42
235255,10
214373,15
233503,7
432133,20
271969,30
233479,7
233464,500
233469,587
233550,201
233555,206.6
233560,112.6
233565,155.7
233570,500
233270,2.5
448775,1125
323272,50
381012,20
381013,20
406790,12
233400,20
233230,60
407608,1520
272430,27
233579,3
259513,66.8
234397,30
233285,12
233463,3
233395,11
233489,1.5
233279,40
48688,20
232602,3
233255,12
233225,6
232546,4
231520,16
232616,0.83
232536,1
235183,2.5
232556,1
235189,7
233980,3
233435,12
233385,8
272311,10
233375,19
251020,19
233380,20
233474,201
235170,12
264312,8
251628,130
324703,50
264170,20
264274,20
235193,2
264200,7
417515,3
235184,1.5
427265,871
233290,8
309193,1
343271,67
264210,1
231460,15
391284,3.5
235260,15
233430,21
235178,5
235145,60
235160,5
235194,7
233275,4
250975,11
233410,12
264342,6
235259,5
233146,7
233425,8
235149,5
234412,40
235159,3
235249,5
233355,3
235164,5
233315,12
233245,20
348775,0.5
233390,12
419610,12
232578,632
232583,400
231412,30
233440,5
232576,2
48693,12
232581,0.033
235154,5
235234,6
233420,40
234408,2.25
232561,10
323273,7
233320,1.5
251157,4
235179,8
233260,6
232566,2
303892,7
234015,8
417444,20
234341,2.5
235229,7
408081,1500
309192,20
235254,8
233576,5
232511,0.5
233508,10
232551,40
234417,10
234045,625
234010,602
235204,5
233300,1
232506,5
232526,4
380784,2
233221,6
232591,1
233325,8
233523,7
235219,8
233261,5
233513,10
232531,4
436859,20
233468,5
235174,10
233365,4
235244,5
323274,3
235169,18
436862,20
348765,8
233437,5
235199,2
235165,1.5
235239,5
233389,105
233344,2
234336,0.16
233346,15
233166,7
233518,8
235144,8
235224,12
235188,8
233483,25
233376,10
235175,8
234413,15
233216,6
235180,5
436861,20
233161,4.1
233266,5
233151,8
274805,20
323275,1
348810,3
233416,11
381005,25
436860,20
240238,15
323276,2
233201,3
233422,50
251588,20
234418,3
348790,7
348795,5
412747,15
305659,4
233472,25
233176,15
233494,7
233442,2
233443,7
233438,9
233448,8
233455,8
233428,15
233433,10
233974,0.5
233403,6
235230,6
233398,6
233408,7
233418,10
274802,10
233423,12
233413,7
233964,2.5
391593,427
265805,3
274800,20
274801,20
430880,10
309238,5
232586,0.42
233393,8
235220,5
233211,10
264225,5
235190,8
233206,5
419617,757
431285,757
233378,7
233482,15
233492,15
233388,7
431284,757
233969,1
274803,12
240222,34
217014,1
233223,7
233399,6
233377,7
274806,15
233342,8
42734,515
216995,6
233292,4
233303,6
217029,1.5
217024,2.5
233248,5
240262,35
233347,10
283689,12
217004,10
240162,5
233272,7
233434,5.5
417202,10
217081,1
233312,6
233352,10
233563,275
389767,12
406019,15
233414,5
233458,10
233227,10
233357,10
233578,300
233341,3
233452,19
233453,90
393544,20
233409,5
264264,20
264306,15
251060,30
419621,757
264189,6
264321,4
303932,8
233402,3.5
233412,120
274807,15
233447,19
233366,2.5
233404,8
233419,7
233429,7
264286,2
264301,16
264215,4.5
264326,1.5
233258,15
264371,6
233351,40
231443,6
389704,1000
233449,6
233358,8
231449,11
233444,10
389761,15
233286,2
233131,3
251112,22
233141,57
264273,15
233487,25
233171,3
233379,10
233382,5
233954,3
233459,6
233362,7
233432,15
235225,10
233457,5
233396,20
233944,6
231469,20
216980,4
233356,3
233391,50
251127,22
233369,15
233333,10
233384,15
309223,30
233502,15
233477,20
233371,20
233361,14
233417,6
251030,30
233298,13
235210,15
233354,2.5
233308,5
235185,3
251015,4
233374,25
233454,5
233328,5
315690,5
233186,2
233323,13
389762,15
240402,70
233527,157
233277,5
233307,5
233283,5
348785,1.5
406786,2
233363,15
304192,25
251117,27
217015,0.17
233243,4
233237,5
233231,43
233517,6
251627,44
233359,6
233247,5
233238,6
240197,60
233251,10
233228,3
412296,10
234055,15
233507,10
233372,12
329556,6
233252,4
233411,4
251608,12
412292,10
217118,5
233349,4
233156,80
233317,6
233401,20
251642,30
304185,10
251663,20
217008,225
233316,40
217089,1.67
217093,4
231433,8
233191,3
233241,6
233302,6
233273,6
233253,5
233263,20
234206,320
406150,1476
233181,20
406146,1509
233450,9
251592,20
233233,6
233394,20
233311,8
233242,5
233232,1200
233268,6
225396,5
233387,15
233267,5
233326,134
233321,2000
231528,6
233297,6
348527,4
233367,20
233407,3.5
309224,1000
348512,1.5
251668,20
251633,15
251587,30
283694,12
224450,5
224539,6
233397,15
224534,5
224475,5
233338,5
224524,3
233373,18
389706,623
225351,5
251617,25
225341,10
251566,20
224480,4
231473,1.5
224572,12
251623,23
233196,30
233392,7
233313,5
283693,15
233239,5
233288,5
348780,15
233280,5
251673,20
240237,15
233257,10
233462,4
283688,20
233368,5
305658,5
225401,5
225346,6
224495,5
233439,8
233343,2.5
303895,10
251678,20
240278,20
235108,15
251612,20
235090,75
225426,5
224577,1
240248,10
251677,9
251562,20
304183,15
233553,10
233512,10
240213,30
251632,20
283692,10
235118,1.5
235110,10
235045,15
235025,10
324148,50
224778,1
235088,1.5
70646,15
225436,5
225391,4
225451,5
